************************
This report is for informational purposes only and should not be used to make medical decisions.
The author of the software that generated this report assumes no responsibility or liability.
************************
Normal range is 80 to 180
start time	end time	label	averge	readings in average/total	low/total	in range/total	high/total	% low	% in range	% high
6:30 pm	6:45 pm	HIGH	182	55/139	3/139	81/139	55/139	2	58	39
6:45 pm	7:00 pm	IN_RANGE	178	77/131	3/131	77/131	51/131	2	58	38
7:00 pm	7:15 pm	IN_RANGE	173	85/143	3/143	85/143	55/143	2	59	38
7:15 pm	7:30 pm	IN_RANGE	178	85/142	3/142	85/142	54/142	2	59	38
7:30 pm	7:45 pm	IN_RANGE	172	86/143	6/143	86/143	51/143	4	60	35
7:45 pm	8:00 pm	IN_RANGE	173	90/153	8/153	90/153	55/153	5	58	35
8:00 pm	8:15 pm	IN_RANGE	174	92/152	7/152	92/152	53/152	4	60	34
8:15 pm	8:30 pm	IN_RANGE	176	97/162	3/162	97/162	62/162	1	59	38
8:30 pm	8:45 pm	IN_RANGE	176	92/166	7/166	92/166	67/166	4	55	40
8:45 pm	9:00 pm	IN_RANGE	180	93/171	3/171	93/171	75/171	1	54	43
9:00 pm	9:15 pm	HIGH	183	74/173	3/173	96/173	74/173	1	55	42
9:15 pm	9:30 pm	HIGH	190	83/181	1/181	97/181	83/181	0	53	45
9:30 pm	9:45 pm	HIGH	190	84/183	0/183	99/183	84/183	0	54	45
9:45 pm	10:00 pm	HIGH	187	84/182	0/182	98/182	84/182	0	53	46
10:00 pm	10:15 pm	HIGH	184	79/179	1/179	99/179	79/179	0	55	44
10:15 pm	10:30 pm	IN_RANGE	180	99/182	12/182	99/182	71/182	6	54	39
10:30 pm	10:45 pm	IN_RANGE	178	98/184	11/184	98/184	75/184	5	53	40
10:45 pm	11:00 pm	IN_RANGE	174	99/183	8/183	99/183	76/183	4	54	41
11:00 pm	11:15 pm	IN_RANGE	169	112/183	8/183	112/183	63/183	4	61	34
11:15 pm	11:30 pm	IN_RANGE	166	115/181	7/181	115/181	59/181	3	63	32
11:30 pm	11:45 pm	IN_RANGE	163	115/181	6/181	115/181	60/181	3	63	33
11:45 pm	12:00 am	IN_RANGE	157	122/178	5/178	122/178	51/178	2	68	28

************************
This report is for informational purposes only and should not be used to make medical decisions.
The author of the software that generated this report assumes no responsibility or liability.
************************
